text,Condition,Procedure,Medication,original_Condition,original_Procedure,original_Medication
what are the signs and symptoms of glaucoma sleep apnea the human phenotype ontology provides the following list of signs and symptoms for glaucoma sleep apnea if the information is available the table below includes how often the symptom is seen in people with this condition you can use the medlineplus medical dictionary to look up the definitions for these medical terms signs and symptoms approximate number of patients when available glaucoma 90 respiratory insufficiency 90 sleep apnea the human phenotype ontology hpo has collected information on how often a sign or symptom occurs in a condition much of this information comes from orphanet a european rare disease database the frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature the frequency may also be listed as a fraction the first number of the fraction is how many people had the symptom and the second number is the total number of people who were examined in one study for example a frequency of 25 25 means that in a study of 25 people all patients were found to have that symptom because these frequencies are based on a specific study the fractions may be different if another group of patients are examined sometimes no information on frequency is available in these cases the sign or symptom may be rare or common,"glaucoma, sleep apnea",,,"Glaucoma, Sleep Apnea, Glaucoma sleep apnea",,
mucopolysaccharidosis type iiid mps iiid is an genetic disorder that makes the body unable to break down large sugar molecules called glycosaminoglycans gags formerly called mucopolysaccharides specifically people with this condition are unable to break down a gag called heparan sulfate affected individuals can have severe neurological symptoms including progressive dementia aggressive behavior hyperactivity seizures deafness loss of vision and an inability to sleep for more than a few hours at a time mps iiid is caused by the missing or deficient enzyme n acetylglucosamine 6 sulfatase mps iiid is inherited in an autosomal recessive manner there is no specific treatment for this condition most people with mps iiid live into their teenage years and some live longer,"dementia, seizures",,,"Dementia, Seizures, Mucopolysaccharidosis type IIID",,
what are the signs and symptoms of osteopoikilosis and dacryocystitis the human phenotype ontology provides the following list of signs and symptoms for osteopoikilosis and dacryocystitis if the information is available the table below includes how often the symptom is seen in people with this condition you can use the medlineplus medical dictionary to look up the definitions for these medical terms signs and symptoms approximate number of patients when available increased bone mineral density 90 lacrimation abnormality 90 autosomal dominant inheritance dacrocystitis osteopoikilosis the human phenotype ontology hpo has collected information on how often a sign or symptom occurs in a condition much of this information comes from orphanet a european rare disease database the frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature the frequency may also be listed as a fraction the first number of the fraction is how many people had the symptom and the second number is the total number of people who were examined in one study for example a frequency of 25 25 means that in a study of 25 people all patients were found to have that symptom because these frequencies are based on a specific study the fractions may be different if another group of patients are examined sometimes no information on frequency is available in these cases the sign or symptom may be rare or common,osteopoikilosis and dacryocystitis,,,Osteopoikilosis and dacryocystitis,,
cholera is a bacterial infection that causes diarrhea the cholera bacterium is usually found in water or food contaminated by feces poop cholera is rare in the us you may get it if you travel to parts of the world with inadequate water treatment and poor sanitation and lack of sewage treatment outbreaks can also happen after disasters the disease is not likely to spread directly from one person to another often the infection is mild or without symptoms but sometimes it can be severe severe symptoms include profuse watery diarrhea vomiting and leg cramps in severe cases rapid loss of body fluids leads to dehydration and shock without treatment death can occur within hours doctors diagnose cholera with a stool sample or rectal swab treatment includes replacing fluid and salts and sometimes antibiotics anyone who thinks they may have cholera should seek medical attention immediately dehydration can be rapid so fluid replacement is essential centers for disease control and prevention,"diarrhea, dehydration, shock",,antibiotics,"Diarrhea, Shock, Cholera, Dehydration",,Antibiotics
these resources address the diagnosis or management of leber congenital amaurosis gene review gene review leber congenital amaurosis genetic testing registry leber congenital amaurosis 1 genetic testing registry leber congenital amaurosis 10 genetic testing registry leber congenital amaurosis 12 genetic testing registry leber congenital amaurosis 13 genetic testing registry leber congenital amaurosis 14 genetic testing registry leber congenital amaurosis 2 genetic testing registry leber congenital amaurosis 3 genetic testing registry leber congenital amaurosis 4 genetic testing registry leber congenital amaurosis 5 genetic testing registry leber congenital amaurosis 9 genetic testing registry leber s amaurosis national eye institute gene therapy for leber congenital amaurosis these resources from medlineplus offer information about the diagnosis and management of various health conditions diagnostic tests drug therapy surgery and rehabilitation genetic counseling palliative care,"leber congenital amaurosis 1, leber congenital amaurosis 2, leber congenital amaurosis 4, leber congenital amaurosis 9","genetic testing, surgery, rehabilitation, genetic counseling, palliative care",,"Leber congenital amaurosis 5, Leber congenital amaurosis 4, Leber congenital amaurosis 10, Leber congenital amaurosis 2, Leber congenital amaurosis 1","Rehabilitation, Surgery, Palliative Care, Genetic Testing, Genetic Counseling",
what are the signs and symptoms of hyperthermia induced defects the human phenotype ontology provides the following list of signs and symptoms for hyperthermia induced defects if the information is available the table below includes how often the symptom is seen in people with this condition you can use the medlineplus medical dictionary to look up the definitions for these medical terms signs and symptoms approximate number of patients when available abnormality of prenatal development or birth 90 cognitive impairment 90 eeg abnormality 90 muscular hypotonia 90 seizures 90 short stature 90 abnormality of neuronal migration 50 aplasia hypoplasia affecting the eye 50 cleft palate 50 clinodactyly of the 5th finger 50 hypoplasia of penis 50 intrauterine growth retardation 50 limitation of joint mobility 50 malar flattening 50 microcephaly 50 single transverse palmar crease 50 hypertonia 7 5 the human phenotype ontology hpo has collected information on how often a sign or symptom occurs in a condition much of this information comes from orphanet a european rare disease database the frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature the frequency may also be listed as a fraction the first number of the fraction is how many people had the symptom and the second number is the total number of people who were examined in one study for example a frequency of 25 25 means that in a study of 25 people all patients were found to have that symptom because these frequencies are based on a specific study the fractions may be different if another group of patients are examined sometimes no information on frequency is available in these cases the sign or symptom may be rare or common,"hyperthermia induced defects, seizures, microcephaly",,,"Seizures, Microcephaly, Hyperthermia induced defects",,
what are the signs and symptoms of neuronal ceroid lipofuscinosis 10 the human phenotype ontology provides the following list of signs and symptoms for neuronal ceroid lipofuscinosis 10 if the information is available the table below includes how often the symptom is seen in people with this condition you can use the medlineplus medical dictionary to look up the definitions for these medical terms signs and symptoms approximate number of patients when available microcephaly 90 respiratory insufficiency 90 seizures 90 abnormality of metabolism homeostasis apnea ataxia autosomal recessive inheritance cerebellar atrophy cerebral atrophy congenital onset increased neuronal autofluorescent lipopigment intellectual disability progressive intellectual disability severe low set ears neuronal loss in central nervous system premature closure of fontanelles respiratory failure retinal atrophy rigidity rod cone dystrophy sloping forehead spasticity status epilepticus visual loss wide nasal bridge the human phenotype ontology hpo has collected information on how often a sign or symptom occurs in a condition much of this information comes from orphanet a european rare disease database the frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature the frequency may also be listed as a fraction the first number of the fraction is how many people had the symptom and the second number is the total number of people who were examined in one study for example a frequency of 25 25 means that in a study of 25 people all patients were found to have that symptom because these frequencies are based on a specific study the fractions may be different if another group of patients are examined sometimes no information on frequency is available in these cases the sign or symptom may be rare or common,"neuronal ceroid lipofuscinosis 10, microcephaly, seizures, respiratory failure, cone dystrophy",,,"Respiratory Failure, Seizures, Microcephaly, Neuronal ceroid lipofuscinosis 10, Neuronal ceroid lipofuscinosis, Cone dystrophy",,
what are the signs and symptoms of tetraamelia with ectodermal dysplasia and lacrimal duct abnormalities the human phenotype ontology provides the following list of signs and symptoms for tetraamelia with ectodermal dysplasia and lacrimal duct abnormalities if the information is available the table below includes how often the symptom is seen in people with this condition you can use the medlineplus medical dictionary to look up the definitions for these medical terms signs and symptoms approximate number of patients when available abnormality of metabolism homeostasis absent lacrimal punctum autosomal recessive inheritance bulbous nose constipation cryptorchidism downturned corners of mouth ectodermal dysplasia high narrow palate hypoplastic lacrimal duct hypotrichosis intellectual disability preauricular pit sacral dimple tetraamelia umbilical hernia upslanted palpebral fissure wide mouth the human phenotype ontology hpo has collected information on how often a sign or symptom occurs in a condition much of this information comes from orphanet a european rare disease database the frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature the frequency may also be listed as a fraction the first number of the fraction is how many people had the symptom and the second number is the total number of people who were examined in one study for example a frequency of 25 25 means that in a study of 25 people all patients were found to have that symptom because these frequencies are based on a specific study the fractions may be different if another group of patients are examined sometimes no information on frequency is available in these cases the sign or symptom may be rare or common,"tetraamelia with ectodermal dysplasia and lacrimal duct abnormalities, constipation, hernia",,,"Constipation, Hernia, Tetraamelia with ectodermal dysplasia and lacrimal duct abnormalities",,
what are the signs and symptoms of familial erythema nodosum the human phenotype ontology provides the following list of signs and symptoms for familial erythema nodosum if the information is available the table below includes how often the symptom is seen in people with this condition you can use the medlineplus medical dictionary to look up the definitions for these medical terms signs and symptoms approximate number of patients when available autosomal dominant inheritance erythema erythema nodosum the human phenotype ontology hpo has collected information on how often a sign or symptom occurs in a condition much of this information comes from orphanet a european rare disease database the frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature the frequency may also be listed as a fraction the first number of the fraction is how many people had the symptom and the second number is the total number of people who were examined in one study for example a frequency of 25 25 means that in a study of 25 people all patients were found to have that symptom because these frequencies are based on a specific study the fractions may be different if another group of patients are examined sometimes no information on frequency is available in these cases the sign or symptom may be rare or common,familial erythema nodosum,,,Familial erythema nodosum,,
what are the signs and symptoms of rhabdomyosarcoma alveolar the human phenotype ontology provides the following list of signs and symptoms for rhabdomyosarcoma alveolar if the information is available the table below includes how often the symptom is seen in people with this condition you can use the medlineplus medical dictionary to look up the definitions for these medical terms signs and symptoms approximate number of patients when available alveolar rhabdomyosarcoma autosomal recessive inheritance the human phenotype ontology hpo has collected information on how often a sign or symptom occurs in a condition much of this information comes from orphanet a european rare disease database the frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature the frequency may also be listed as a fraction the first number of the fraction is how many people had the symptom and the second number is the total number of people who were examined in one study for example a frequency of 25 25 means that in a study of 25 people all patients were found to have that symptom because these frequencies are based on a specific study the fractions may be different if another group of patients are examined sometimes no information on frequency is available in these cases the sign or symptom may be rare or common,rhabdomyosarcoma alveolar,,,Rhabdomyosarcoma alveolar,,
these resources address the diagnosis or management of malignant hyperthermia gene review gene review malignant hyperthermia susceptibility genetic testing registry malignant hyperthermia susceptibility type 1 genetic testing registry malignant hyperthermia susceptibility type 2 genetic testing registry malignant hyperthermia susceptibility type 3 genetic testing registry malignant hyperthermia susceptibility type 4 genetic testing registry malignant hyperthermia susceptibility type 5 genetic testing registry malignant hyperthermia susceptibility type 6 medlineplus encyclopedia malignant hyperthermia these resources from medlineplus offer information about the diagnosis and management of various health conditions diagnostic tests drug therapy surgery and rehabilitation genetic counseling palliative care,,"genetic testing, surgery, rehabilitation, genetic counseling, palliative care",,Malignant hyperthermia susceptibility type 3,"Rehabilitation, Surgery, Palliative Care, Genetic Testing, Genetic Counseling",
what are the signs and symptoms of microphthalmia mental deficiency the human phenotype ontology provides the following list of signs and symptoms for microphthalmia mental deficiency if the information is available the table below includes how often the symptom is seen in people with this condition you can use the medlineplus medical dictionary to look up the definitions for these medical terms signs and symptoms approximate number of patients when available joint hypermobility 5 overlapping toe 5 agenesis of corpus callosum autosomal recessive inheritance cerebellar hypoplasia cerebral atrophy congenital cataract cryptorchidism deeply set eye external genital hypoplasia facial hypertrichosis failure to thrive hyperreflexia hypoplasia of the corpus callosum intellectual disability kyphoscoliosis macrotia microcephaly microcornea microphthalmia muscular hypotonia optic atrophy osteoporosis ptosis short stature spastic diplegia the human phenotype ontology hpo has collected information on how often a sign or symptom occurs in a condition much of this information comes from orphanet a european rare disease database the frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature the frequency may also be listed as a fraction the first number of the fraction is how many people had the symptom and the second number is the total number of people who were examined in one study for example a frequency of 25 25 means that in a study of 25 people all patients were found to have that symptom because these frequencies are based on a specific study the fractions may be different if another group of patients are examined sometimes no information on frequency is available in these cases the sign or symptom may be rare or common,"microphthalmia mental deficiency, cataract, microcephaly, osteoporosis",,,"Osteoporosis, Cataract, Microphthalmia mental deficiency, Microcephaly",,
what are the signs and symptoms of 3 methylglutaconic aciduria type v the human phenotype ontology provides the following list of signs and symptoms for 3 methylglutaconic aciduria type v if the information is available the table below includes how often the symptom is seen in people with this condition you can use the medlineplus medical dictionary to look up the definitions for these medical terms signs and symptoms approximate number of patients when available 3 methylglutaric aciduria autosomal recessive inheritance congestive heart failure cryptorchidism decreased testicular size dilated cardiomyopathy glutaric aciduria hypospadias intellectual disability intrauterine growth retardation microvesicular hepatic steatosis muscle weakness noncompaction cardiomyopathy nonprogressive cerebellar ataxia normochromic microcytic anemia optic atrophy prolonged qt interval sudden cardiac death the human phenotype ontology hpo has collected information on how often a sign or symptom occurs in a condition much of this information comes from orphanet a european rare disease database the frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature the frequency may also be listed as a fraction the first number of the fraction is how many people had the symptom and the second number is the total number of people who were examined in one study for example a frequency of 25 25 means that in a study of 25 people all patients were found to have that symptom because these frequencies are based on a specific study the fractions may be different if another group of patients are examined sometimes no information on frequency is available in these cases the sign or symptom may be rare or common,"heart failure, cardiomyopathy, anemia",,,"Heart Failure, Cardiomyopathy, Anemia, 3 methylglutaconic aciduria type V",,
mondor disease is a rare condition that is characterized by scarring and inflammation of the veins located just beneath the skin of the chest the affected veins are initially red and tender and subsequently become a painless tough fibrous band that is accompanied by tension and retraction of the nearby skin in most cases the condition is benign and resolves on its own however mondor disease can rarely be associated with breast cancer although the condition most commonly affects the chest mondor disease of other body parts including the penis groin and abdomen has been described as well mondor disease is thought to occur when pressure or trauma on the veins causes blood to stagnate in most cases the condition arises after recent breast surgery but it can also be associated with physical strain and or tight fitting clothing i e bras treatments are available to help relieve symptoms until the condition resolves,breast cancer,surgery,,"Breast Cancer, Cancer, Mondor disease",Surgery,
these resources address the diagnosis or management of x linked chondrodysplasia punctata 2 gene review gene review chondrodysplasia punctata 2 x linked genetic testing registry chondrodysplasia punctata 2 x linked dominant these resources from medlineplus offer information about the diagnosis and management of various health conditions diagnostic tests drug therapy surgery and rehabilitation genetic counseling palliative care,,"genetic testing, surgery, rehabilitation, genetic counseling, palliative care",,Chondrodysplasia punctata 2 X-linked dominant,"Rehabilitation, Surgery, Palliative Care, Genetic Testing, Genetic Counseling",
what are the signs and symptoms of spondylometaphyseal dysplasia sedaghatian type the human phenotype ontology provides the following list of signs and symptoms for spondylometaphyseal dysplasia sedaghatian type if the information is available the table below includes how often the symptom is seen in people with this condition you can use the medlineplus medical dictionary to look up the definitions for these medical terms signs and symptoms approximate number of patients when available brachydactyly syndrome 90 delayed skeletal maturation 90 platyspondyly 90 sprengel anomaly 90 sudden cardiac death 90 narrow chest 50 accelerated skeletal maturation 7 5 aplasia hypoplasia of the corpus callosum 7 5 11 pairs of ribs atria septal defect autosomal recessive inheritance cone shaped epiphyses of the phalanges of the hand cone shaped metacarpal epiphyses cupped ribs delayed epiphyseal ossification depressed nasal bridge flared iliac wings flat acetabular roof focal lissencephaly iliac crest serration irregular tarsal bones large posterior fontanelle long fibula metaphyseal cupping metaphyseal irregularity muscular hypotonia narrow greater sacrosciatic notches porencephaly posteriorly rotated ears redundant skin rhizomelia short finger short long bone short metacarpal short neck short phalanx of finger short ribs short toe spondylometaphyseal dysplasia talipes equinovarus turricephaly widened sacrosciatic notch the human phenotype ontology hpo has collected information on how often a sign or symptom occurs in a condition much of this information comes from orphanet a european rare disease database the frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature the frequency may also be listed as a fraction the first number of the fraction is how many people had the symptom and the second number is the total number of people who were examined in one study for example a frequency of 25 25 means that in a study of 25 people all patients were found to have that symptom because these frequencies are based on a specific study the fractions may be different if another group of patients are examined sometimes no information on frequency is available in these cases the sign or symptom may be rare or common,"spondylometaphyseal dysplasia sedaghatian type, porencephaly, talipes equinovarus",,,"Porencephaly, Talipes equinovarus, Spondylometaphyseal dysplasia Sedaghatian type",,
what are the signs and symptoms of hemophagocytic lymphohistiocytosis familial 4 the human phenotype ontology provides the following list of signs and symptoms for hemophagocytic lymphohistiocytosis familial 4 if the information is available the table below includes how often the symptom is seen in people with this condition you can use the medlineplus medical dictionary to look up the definitions for these medical terms signs and symptoms approximate number of patients when available muscular hypotonia 5 seizures 5 anemia 7 7 hepatomegaly 7 7 hypertriglyceridemia 5 5 splenomegaly 7 7 hemophagocytosis 6 7 thrombocytopenia 6 7 increased serum ferritin 3 4 neutropenia 5 7 hypofibrinogenemia 3 5 autosomal recessive inheritance fever the human phenotype ontology hpo has collected information on how often a sign or symptom occurs in a condition much of this information comes from orphanet a european rare disease database the frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature the frequency may also be listed as a fraction the first number of the fraction is how many people had the symptom and the second number is the total number of people who were examined in one study for example a frequency of 25 25 means that in a study of 25 people all patients were found to have that symptom because these frequencies are based on a specific study the fractions may be different if another group of patients are examined sometimes no information on frequency is available in these cases the sign or symptom may be rare or common,"hemophagocytic lymphohistiocytosis, seizures, anemia, fever",,,"Fever, Seizures, Anemia, Hemophagocytic lymphohistiocytosis, Hemophagocytic lymphohistiocytosis, familial, 4",,
what are the signs and symptoms of chang davidson carlson syndrome the human phenotype ontology provides the following list of signs and symptoms for chang davidson carlson syndrome if the information is available the table below includes how often the symptom is seen in people with this condition you can use the medlineplus medical dictionary to look up the definitions for these medical terms signs and symptoms approximate number of patients when available abnormality of the kidney 95 abnormality of retinal pigmentation 90 abnormality of the genital system 90 anterior hypopituitarism 90 micropenis 88 myopia 75 astigmatism 63 cataract 30 glaucoma 22 rod cone dystrophy 8 abnormality of the ovary 7 5 hearing impairment 7 5 macrocephaly 7 5 vaginal atresia 7 5 aganglionic megacolon 5 asthma ataxia autosomal recessive inheritance biliary tract abnormality brachydactyly syndrome broad foot congenital primary aphakia decreased testicular size delayed speech and language development dental crowding diabetes mellitus foot polydactyly gait imbalance hepatic fibrosis high palate hirsutism hypertension hypodontia hypogonadism intellectual disability left ventricular hypertrophy nephrogenic diabetes insipidus neurological speech impairment nystagmus obesity poor coordination postaxial hand polydactyly radial deviation of finger retinal degeneration short foot specific learning disability strabismus syndactyly the human phenotype ontology hpo has collected information on how often a sign or symptom occurs in a condition much of this information comes from orphanet a european rare disease database the frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature the frequency may also be listed as a fraction the first number of the fraction is how many people had the symptom and the second number is the total number of people who were examined in one study for example a frequency of 25 25 means that in a study of 25 people all patients were found to have that symptom because these frequencies are based on a specific study the fractions may be different if another group of patients are examined sometimes no information on frequency is available in these cases the sign or symptom may be rare or common,"carlson syndrome, hypopituitarism, cataract, glaucoma, cone dystrophy, asthma, congenital primary aphakia, diabetes, polydactyly, nephrogenic diabetes insipidus, obesity",,,"Glaucoma, Diabetes, Cataract, Asthma, Obesity, Diabetes Insipidus, Chang Davidson Carlson syndrome, Polydactyly, Hypopituitarism, Congenital primary aphakia, Cone dystrophy, Nephrogenic diabetes insipidus",,
chromosome 7q deletion is a chromosome abnormality that occurs when there is a missing copy of the genetic material located on the long arm q of chromosome 7 the severity of the condition and the signs and symptoms depend on the size and location of the deletion and which genes are involved features that often occur in people with chromosome 7q deletion include developmental delay intellectual disability behavioral problems and distinctive facial features most cases are not inherited but people can pass the deletion on to their children treatment is based on the signs and symptoms present in each person,chromosome 7q deletion,,,Chromosome 7q deletion,,
is femoral facial syndrome inherited the vast majority of cases of femoral facial syndrome ffs have been sporadic not inherited when a condition is sporadic it means that it occurs in an individual who has no history of the condition in his her family occurrence in more than one family member has been reported in three cases but no sibling recurrences have been reported maternal diabetes has been recognized as a major factor causing ffs in more than 20 of the reported cases the circumstances of the reported cases in the literature support non genetic causes of ffs such as teratogenic exposure it is theoretically possible that the cause could sometimes be a new gene mutation occurring in the affected individual or autosomal dominant inheritance with reduced penetrance,diabetes,,,"Diabetes, Femoral facial syndrome",,
